Review,Username,Rating,NegativeRating,NeutralRatings,PositiveFeeling,AppName
Horrível. Reconhecimento facial não funciona. Horrible. Facial recognition doesn't work.,Carlos Rabelo,1,1,0,0,br.gov.meugovbr
Terrible. Facial reckon doesnt work.,saudade imoveis,1,1,0,0,br.gov.meugovbr
Easy to use and really useful.,Carlos Daniel Villalba Zaracho,5,0,0,1,br.gov.meugovbr
its interesting form of facial recognizing,Erico Oliveira,5,0,0,1,br.gov.meugovbr
Super easy to use app that helps with documentation in Brazil!!!!!,Thomas Zink Koelle,5,0,0,1,br.gov.meugovbr
Process fast enough and easy.,rodrigo santos,4,0,0,1,br.gov.meugovbr
"Light, fluid and intuitive application. It fulfills satisfactorily its basic functionalities.",Paulo Canuto,5,0,0,1,br.gov.meugovbr
Can't install in my Samsung S21 Ultra. It starts downloading but always show an error when trying to install.,Cau Trindade,1,1,0,0,br.gov.meugovbr
"The service does not work. Everything keeps motionless, so we can't conclude the process.",Eduardo Oliveira,1,1,0,0,br.gov.meugovbr
"Requires too many private information, photos. It's making me uncomfortable.",Linw Marx,1,1,0,0,br.gov.meugovbr
Great service!! Fast and secure. All digital. Just great!,Adriel Martins,5,0,0,1,br.gov.meugovbr
Wants access to sensible info but I distrust this government and its ability to protect or use my data wisely,Juliana Fajardini,1,1,0,0,br.gov.meugovbr
Nada funciona nessa bomba. Dá erro logo quando abre. Attempt to invoke virtual method java.security.publickey on a null reference object.,Haryel Freire,1,1,0,0,br.gov.meugovbr
"O app não acessa. Está dando erro de Java. ""publicKey on a null object reference"" Android 11 - XIAOMI Redmi 9 pro MIUI 12.5.3",Ana Cláudia Madeira,1,1,0,0,br.gov.meugovbr
it's great because it will help a lot of people who are seeking for help about our situation here in Brasil,Elaine Sajonia,5,0,0,1,br.gov.meugovbr
"Great App, helped me too. 👏",Julio Brenicci,5,0,0,1,br.gov.meugovbr
Era ótimo! No Android 11 não abre! Samsung A22,Antonio Braganca Martins,1,1,0,0,br.gov.meugovbr
App crashing all the time!,Felipe Yazbek,1,1,0,0,br.gov.meugovbr
Lot's of steps,Muss Mestre,3,0,1,0,br.gov.meugovbr
"This is proof that the state, when well managed, by an efficient bureaucracy, can be more efficient than the private initiative.",Wanderson,4,0,0,1,br.gov.meugovbr
eh mutton bomb memo. uso sempre,Leon Unger,5,0,0,1,br.gov.meugovbr
"it took a long time, but it worked!",Perla Berkowitz,3,0,1,0,br.gov.meugovbr
"show kkkkk, maneiro kkkk",Loriedson Emma-O,5,0,0,1,br.gov.meugovbr
"Erro ao concluir cadastro ""Internal HTTP Server Error""",Junior Brandão,1,1,0,0,br.gov.meugovbr
Não funciona no Android 11 (Xiaomi MIUI 12.5.5),Wilmi Pwa,1,1,0,0,br.gov.meugovbr
"Did't open this App. Excuse-me , uninstall.",Everton JS,4,0,0,1,br.gov.meugovbr
"Bad very bad, crappie, fishing,experience,",Geraldo Cardoso,1,1,0,0,br.gov.meugovbr
very easy and fast,Luiz Oliveira,5,0,0,1,br.gov.meugovbr
"Very good APP, congratulations.",Henri Bigatti,5,0,0,1,br.gov.meugovbr
How can I create an account or how can get the CPF?,Farwaz Sulley,3,0,1,0,br.gov.meugovbr
nao consigo logar (Android 9),Rafa Silver (Josie),1,1,0,0,br.gov.meugovbr
Can't even conclude the installation process. This app should not be available for download.,Teacher Leo,1,1,0,0,br.gov.meugovbr
fast and pratic,luiz Ferreira,5,0,0,1,br.gov.meugovbr
Não funciona no android 7.,Caçarola Napolitano,1,1,0,0,br.gov.meugovbr
Maybe be good but it is sowing troubles on my phone,Funny The Channel it's so amazing,5,0,0,1,br.gov.meugovbr
Nāo funciona no Android 11.,Elcio Cadene,1,1,0,0,br.gov.meugovbr
"Poor, now why is a brazilian gov.br needs to be evaluated in English?",Ed Correa,1,1,0,0,br.gov.meugovbr
muito útil (Very useful),Fox Ushiha,5,0,0,1,br.gov.meugovbr
Não consigo abrir no Samsung A31,Lawrence D'Mello,1,1,0,0,br.gov.meugovbr
it Looks handful!!,Myriel Pádua,5,0,0,1,br.gov.meugovbr
good and fast!,Henrique Rodrigues,5,0,0,1,br.gov.meugovbr
"It's Brazil, did you expect caviar and expensive wines? You were fooled, unless you are a politician, lawyer or judge.",SACRATUS ARKHANGELOS MICHAELIS MICHAELIS,3,0,1,0,br.gov.meugovbr
fast works well,mary delfino,5,0,0,1,br.gov.meugovbr
it Worked Perfectly.,W Daniel,5,0,0,1,br.gov.meugovbr
I don't have CNH! How can I access my account??,Wesley Jr.,1,1,0,0,br.gov.meugovbr
Bad face recognition,Pablo sx,1,1,0,0,br.gov.meugovbr
O App não funciona,Patrícia Schappo,1,1,0,0,br.gov.meugovbr
Goes around and around,Bear maker,1,1,0,0,br.gov.meugovbr
eu amo esse app!!,Karina Pinheiro,5,0,0,1,br.gov.meugovbr
First use ok. let's see how it goes.,Tuco Santana,5,0,0,1,br.gov.meugovbr
thanks again for your email address,Matheus Turella,5,0,0,1,br.gov.meugovbr
It's wonderful,Eula Paula,5,0,0,1,br.gov.meugovbr
IN GOD WE TRUST Bolsonaro 2022 Trump Version Made in Brazil 🇧🇷 MAGA Make Britain 🇬🇧 Great Again 🇬🇧 META. Make Everything Trump Again Trump 2024,IN GOD WE TRUST MaybeLLine-inc 1776,3,0,1,0,br.gov.meugovbr
show esse app,Van Glauco,5,0,0,1,br.gov.meugovbr
IN GOD WE TRUST.. Bolsonaro 2022 TRUMP 2024,Hilton Bros Dellaware (IN GOD WE TRUST),4,0,0,1,br.gov.meugovbr
Toda hora pede reconhecimento facial e falha várias vezes,Miguel Demarque,2,1,0,0,br.gov.meugovbr
top,yawar engineering,5,0,0,1,br.gov.meugovbr
ótimo,Roseane,5,0,0,1,br.gov.meugovbr
"Ok, obrigado pela sugestão. De qualquer modo, não deveria haver distinção entre as formas de sair do aplicativo. E não ser tão difícil fazer o reconhecimento facial, que falha muito; é fácil culpar o usuário! Veja-se um leitor de QR-Code, lê de qualquer jeito, sem grandes exigências. Há que melhorar esse leitor de rostos!",John Noble,4,0,0,1,br.gov.meugovbr
"Excelente aplicativo, funciona de maravilha!",Víctor Martínez,5,0,0,1,br.gov.meugovbr
Ele desabilita a biometria depois de um tempo,Marcos Sanches,1,1,0,0,br.gov.meugovbr
"Muito últil, integração completa e intuitivi",Jonas Mateus (‫لѻกٱกɦคร‬‎),5,0,0,1,br.gov.meugovbr
"excelente aplicativo, recomendo!",Luciano Silva,5,0,0,1,br.gov.meugovbr
"Nada funciona, como de praxe no brasil",Gustavo Henrique Cunha da Rosa,1,1,0,0,br.gov.meugovbr
Falta segurança para com nossos dados e informações pessoais.,O Ceifador,3,0,1,0,br.gov.meugovbr
Inútil para quem vive no exterior e não possui um número de telefone no Brasil para validar o acesso.,William Zanatta,1,1,0,0,br.gov.meugovbr
good,Leonardo,5,0,0,1,br.gov.meugovbr
não funcionou a biometria facial,Marco Lampert,1,1,0,0,br.gov.meugovbr
"Infernalmente complicado. Ando a horas tentando fazer o cadastro inicial. Depois de inserir o cpf, diz para baixar o app que já está no celular. ?!?!?!",Alex Demarchi,1,1,0,0,br.gov.meugovbr
"Pessima experiencia. Nada funciona e versao eh tao complicada, que da medo de clicar em qq coisa e causar danos aos aparelhos.",Mara Rodrigues,1,1,0,0,br.gov.meugovbr
otimo,Lucas Aguiar,5,0,0,1,br.gov.meugovbr
Grata,Marilza Helena Perei,5,0,0,1,br.gov.meugovbr
Lixo,P J,1,1,0,0,br.gov.meugovbr
"Depois de realizar o cadastro e fazer reconhecimento facial, o aplicativo simplesmente não permite o meu acesso alegando ""Biometria facial não encontrada"". Legal, agora que realizei meu cadastro, não posso acessá-lo e nem sei como cancelar. Simplesmente um lixo.",Rúbea Centenaro,1,1,0,0,br.gov.meugovbr
"seis meses depois, consegui o reconhecimento facial.",educostinha,3,0,1,0,br.gov.meugovbr
"Pouco confiável, reconhecimento facial falha, bloqueando App",D. Alves (D. Alv),1,1,0,0,br.gov.meugovbr
"Lixo, não me deixa conectar",Gustavo,1,1,0,0,br.gov.meugovbr
Reconhecimento Facil Faz parte da agenda de controle Absoluto Chines.,lucky 748,1,1,0,0,br.gov.meugovbr
foi rápido e pareceu eficiente,Adriano Sant'Ana,5,0,0,1,br.gov.meugovbr
Agora está fácil recuperar a senha por reconhecimento facial.,Regis Silva,5,0,0,1,br.gov.meugovbr
Aplicativo maravilhoso e que simplifica muitíssimo a vida da gente.,Júlia Ana Vieira,5,0,0,1,br.gov.meugovbr
"Good, thanks!",Diego Vintem,4,0,0,1,br.gov.meugovbr
nao adaptado para tablet na horizontal,Danilo Guimarães Dantas,2,1,0,0,br.gov.meugovbr
terrible app,Roberto Brela,1,1,0,0,br.gov.meugovbr
Mais uma vez estou tentando entrar no app e não consigo. Da erro se tento entrar com o banco e com biometria facial.,Paula Damasia,1,1,0,0,br.gov.meugovbr
Cool,Waldimir Sousa,5,0,0,1,br.gov.meugovbr
nice,DJ MAUROLUCIO,5,0,0,1,br.gov.meugovbr
Sem acesso a minha conta,Eduardo Torres,1,1,0,0,br.gov.meugovbr
"Estou a dias tentando fazer o reconhecimento facial e não funciona, o app não possuo nenhum ponto de atendimento para que você ser auxiliado, preciso fazer meu imposto de renda e não importa o que eu faça o app não funciona.",Wesley Smitthe,1,1,0,0,br.gov.meugovbr
"Ao selecionar a opção de dupla verificação offline, o App dá erro na leitura do QR code, dizendo que o QR code gerado (pelo site Gov) é incompatível com o App.",Alais Fuzaro,2,1,0,0,br.gov.meugovbr
muito bom,Renata Guerra,5,0,0,1,br.gov.meugovbr
tudo ladrão,Gus V,1,1,0,0,br.gov.meugovbr
excelente!,Marco Antonio,5,0,0,1,br.gov.meugovbr
Assertivo.,Juliane Ferrareto,5,0,0,1,br.gov.meugovbr
funciona.,Flavio Jarabeck,5,0,0,1,br.gov.meugovbr
tudo,Pedro Cavalcante,5,0,0,1,br.gov.meugovbr
Sensacional,Jalles Gomes Rosa,5,0,0,1,br.gov.meugovbr
facil,suksuk CDs o moral da região suksuk CDs,5,0,0,1,br.gov.meugovbr
legal,daniel santiago,5,0,0,1,br.gov.meugovbr
otimo,Lana Ladeia,5,0,0,1,br.gov.meugovbr
bom,Jonatan Cesar emboaba Emboaba,5,0,0,1,br.gov.meugovbr
otimo,Davis Lima,5,0,0,1,br.gov.meugovbr
horrível,Breno Queiroga,1,1,0,0,br.gov.meugovbr
"Aplicativo horrível! Eu preciso entrar no INSS para baixar o demonstrativo de renda para o imposto de renda deste ano. O aplicativo não deixa entrar em nada, não deixa entrar em qualquer coisa sem antes fazer o reconhecimento facial. Mas o aplicativo não consegue fazer o reconhecimento facial de jeito nenhum, não importa qual a posição, a distância do rosto ou a iluminação, ele simplesmente não faz o reconhecimento facial!!! E agora, como é que fica se o usuário não consegue usar mais o app?!",Mad Old Man Yelling,1,1,0,0,br.gov.meugovbr
"valeu por aumentarem a contribuição de impostos, valeu por contribuírem pro meu emagrecimento, valeu por fazerem eu comer as vezes menos de 2 refeições por dia, valeu por usarem o dinheiro desses impostos em qualquer outra coisa menos no melhoramento desses aplicativos inúteis, valeu por fazerem eu amar esse país cada vez mais. espero que o Brasil quebre pois é isso que merecem, tenho vergonha de ter nascido aqui, muito obrigada mesmo",Sophia Giz,1,1,0,0,br.gov.meugovbr
"As vezes aparecem dez captchas para entrar. O sujeito que colocou senha E CAPTCHAS, deveria ser despedido. Só tem cpf e cnh. Faltam ci, titulo, etc,etc,etc. 2023-03-14. O que deveria ser um sistema de alta disponibilidade, esta fora do ar, não autentica, erro 403 em alguns casos. Serpro sempre fazendo m para variar. 2023-05-02. Aplicativo não funciona mais. Entra em loop na autenticação, pergunta se quer autenticar por senha ou pelo app (sic).",Hans Zimmer,1,1,0,0,br.gov.meugovbr
horrível o reconhecimento facial.. necessário implementar outros meios de verificação..,* smoldah,1,1,0,0,br.gov.meugovbr
demora mto pra reconhecer o rosto,Paula Konrath Fleck,3,0,1,0,br.gov.meugovbr
😉👍🆗,Ismaell Pereira,5,0,0,1,br.gov.meugovbr
"Nao funciona. Eu estou preso em um loop em que eu não posso aumentar o nível porque eu preciso usar o QR code, mas eu não posso usar o QR code porque eu o aplicativo me manda fazer login pelo browser, e não pelo app. Eu só uso Nubank e ele não está listado cono opção de aumentar o nível da conta.",Dartanhan Carvalho,1,1,0,0,br.gov.meugovbr
"Terrível, péssimo, irritante, frustrante. Um mês pra tirar uma simples carteira de trabalho. Sem falar nas infinitas informações pessoais exigidas. Só faltou perguntar onde eu moro, que horas que eu acordo, com que frequência vou ao banheiro e etc. Enfim, o governo realmente quer seus gados sob controle total.",Wolfgang,1,1,0,0,br.gov.meugovbr
se voce desinstala. nunca mais consegue logar.,Frantchesco,2,1,0,0,br.gov.meugovbr
"muito bom, nota 2",Ramon Las-Cazas,2,1,0,0,br.gov.meugovbr
"Aplicativo inutil, reconhecimento facil bugado e nao funciona, nao loga e portanto fica com zero utilidade. Fora as evidentes falhas na programacao da interface de usuario.",marsch,1,1,0,0,br.gov.meugovbr
me estressa,Vitoria Azevedo,5,0,0,1,br.gov.meugovbr
Muito bom,Elves,4,0,0,1,br.gov.meugovbr
Está dando erro no reconhecimento facial durante o login e o app não dá nenhuma outra alternativa para a realizaçao de login a não ser por esse reconhecimento. Estou a vários dias sem conseguir acessar no app.,Manoel Leal,1,1,0,0,br.gov.meugovbr
"Funciona razoavelmente bem. Algo que poderia ter é acesso a serviços como o PROCON, fazendo uma reclamação oficial etc, tipo como é fazer um B.O. online hoje em outros órgãos.",Bernardo Rufino,3,0,1,0,br.gov.meugovbr
Péssimo.,Cleber de Souza Bezerra,1,1,0,0,br.gov.meugovbr
Eu não lembro a minha senha. O aplicativo manda eu fazer o login através do navegador. Quando clico em esqueci minha senha ele manda eu baixar o aplicativo para fazer reconhecimento facial. Estou perdida num ciclo onde não existe solução,Larissa Gonçalves Munhós,1,1,0,0,br.gov.meugovbr
bom,name Name,5,0,0,1,br.gov.meugovbr
ok,Matheus Cândido Teixeira,5,0,0,1,br.gov.meugovbr
essencial,Eduardo Tenório,5,0,0,1,br.gov.meugovbr
Lixo,Marcelo Paludo Wille,1,1,0,0,br.gov.meugovbr
"Este app foi claramente desenvolvido para não funcionar. Ele já vem com uma senha cadastrada... Se vc tenta recuperar a senha, o email cadastrado não é meu, o reconhecimento facial não funciona, e as contas bancárias não reconhecem minha senha. Resumindo... É inútil.",A Google user,1,1,0,0,br.gov.meugovbr
"Instalei para tentar aumentar meu nível para Ouro, mas o app mostra a mensagem que ""não será possível fazer o reconhecimento facial"", me impossibilitando de aumentar meu nível. Aumentar para o nível Prata não é uma opção para mim pois não tenho conta em nenhum banco da lista.",Rodrigo F.,2,1,0,0,br.gov.meugovbr
Depois de muitas tentativas eu resolvi mudar minha avaliação. O aplicativo simplesmente não funciona. estou a meses tentando aumentar o nível de segurança mas o reconhecimento facila não funciona e a opção de ler o QRcode da carteira de motorista simplesmente não aparece. Aplicativo limitado e nada intuitivo.,Djalma Junior,1,1,0,0,br.gov.meugovbr
"além de sempre dar problema na hora de login e abrir 5 abas no browser pedindo reconhecimento facial (que eu não habilitei) ainda é lento e muitas vezes não faz o que as instruções dizem. Ou pior, simplesmente dá erro na hora de solicitar informações e pede pra tentar de novo mais tarde.",PHDBR2,2,1,0,0,br.gov.meugovbr
"lixoooo, tive que fazer umas 20 tentativas antes de reconhecer minha face. Depois fui usar pra autenticar no e-cac para poder fazer o imposto de renda e dá erro 403. Muito ruim os serviços do governo. Pra cobrar imposto é bom , mas pra fazer um serviço decente pra população é muito ruim.",Fernando Romero,1,1,0,0,br.gov.meugovbr
"desmascara intruso de conta com numero de outro chip com acesso ao gmail suspeito que desviam dinheiro do bolsa familia pelo facebook inativo posso estar enganado meu windows 8 esta funcionando em outro computador moro na humaita 217 fundos apto 3 Terreo Taubaté SP apareceu cnpj no meu cpf fui notificado compareci no sebrae pra desativar depois disso apareceu outro cnpj o primeiro com uma divida de 1200，00 o outro com uma divida recente de 90,00 consegui recuperar esse gmail ele é o primeiro .",Marcos Paulo Gonçalves,5,0,0,1,br.gov.meugovbr
É ótimo para tudo! Gostei desta pegada high tech governamental. Fica bem melhor obter tudo que é necessário quando o assunto é documentação de benefícios.🤭,alessandra bandeira,5,0,0,1,br.gov.meugovbr
"uma idiotice muito mal feita, vc perde mais tempo pra este sistema idiota fazer o reconhecimento facial do que pesquisando o uqe vc precisa",Conexao com Cristo,1,1,0,0,br.gov.meugovbr
"Mais um aplicativo lento, desnecessário, inútil.",Vinícius Gobbo Antunes de Oliveira,1,1,0,0,br.gov.meugovbr
20 minutos pra fazer login,Marcos Pereira dos Santos,1,1,0,0,br.gov.meugovbr
Reconhecimento facial simplesmente não funciona. Ele não abre a câmera e mostra um erro nada descritivo,Alex Santee,1,1,0,0,br.gov.meugovbr
"Aplicativo horrível. Invasivo, cheio de bug, nada funciona, feijoada.",big b0ss,1,1,0,0,br.gov.meugovbr
Reconhecimento facial sempre dá erro... não consigo usar o app,Leandro Henrique,2,1,0,0,br.gov.meugovbr
facilita muito na navegação pra saber sobre informações de documentos pessoais!!!,Lucah Moreira,5,0,0,1,br.gov.meugovbr
"Sistema Fantástico, mais avançado do que qualquer sistema de outros países",Fernando Assad,5,0,0,1,br.gov.meugovbr
"É do governo, é ruim",Minawadrash,1,1,0,0,br.gov.meugovbr
great! só precisa melhorar o reconhecimento facial,Andre Athar,5,0,0,1,br.gov.meugovbr
Instalei e não consegui acessar. Aparece 403 forbidden.,Silvio Rebelo,1,1,0,0,br.gov.meugovbr
"Como esperado, um lixo.",Felipe Amorim,1,1,0,0,br.gov.meugovbr
Reconhecimento facial não funciona pra entrar no app,Laura Dusi,1,1,0,0,br.gov.meugovbr
Problema com login via soo resolvido!,natanael quintino,5,0,0,1,br.gov.meugovbr
As funcionalidade de leitura de QR Code e Reconhecimento Facial não funcionam,Ramon Barrio,1,1,0,0,br.gov.meugovbr
"servico horrivel, reconhecimento facial bloqueia por 24 horas apos falhar apenas 2 vezes.",ユリキ,1,1,0,0,br.gov.meugovbr
"Se for usuario bronze não serve pra nada, é obrigatório cadastrar algum outro tipo de dados",Thiarles Silva,1,1,0,0,br.gov.meugovbr
"Não consigo acessar minha conta, app péssimo",Gabrielle Bueno,1,1,0,0,br.gov.meugovbr
Excelente forma de controle e atualização de informações.,Jocelio Candido,5,0,0,1,br.gov.meugovbr
"Atendimento horrível, péssimo, mentiroso.",LUIX,1,1,0,0,br.gov.meugovbr
Reconhecimento facial dificílimo de funcionar.,Moacyr Rocha,1,1,0,0,br.gov.meugovbr
"faz parte do sistema do governo global, do império do anticristo",EXTERMINADOR FODEX,1,1,0,0,br.gov.meugovbr
O app não instala e não fala porque,Alberto Nordmann Garagorry,1,1,0,0,br.gov.meugovbr
O reconhecimento facial não está funcionando,Carlos Daniel,1,1,0,0,br.gov.meugovbr
Estou orecisando fazer o CMC baixei o aplicatico mas nao consigo fazer o cadastro... Me pede o cpf e depois senha mas como terei senha se nao consigo fazer o cadastro!,Chiquinho Lemos,1,1,0,0,br.gov.meugovbr
"Agilidade, eficiência e transparência. Usar a tecnologia para melhorar a prestação de serviço e reduzir a estrutura pesada do funcionalismo público.",Gilberto Maia,5,0,0,1,br.gov.meugovbr
interesting 🤔,Anabela Silva,5,0,0,1,br.gov.meugovbr
Reconhecimento Facial não funciona,Eduardo Bender,1,1,0,0,br.gov.meugovbr
excellent,Massaru Fukuda,5,0,0,1,br.gov.meugovbr
horrivel de acessar,cesar kimura,1,1,0,0,br.gov.meugovbr
burocrático e disfuncional,Allen Walker,1,1,0,0,br.gov.meugovbr
pratico e acessivel,Johnny Kellton,5,0,0,1,br.gov.meugovbr
aplicativo muito bom,Divany Batista Alves,5,0,0,1,br.gov.meugovbr
very good,Vitória Beatriz,5,0,0,1,br.gov.meugovbr
very easy,Adenilson De Jesus Santos,5,0,0,1,br.gov.meugovbr
very good,July Kelly,5,0,0,1,br.gov.meugovbr
Muito útil!,Natália Santos,5,0,0,1,br.gov.meugovbr
"Os serviços não estão unificados no aplicativo, toda hora precisa sair do app para ir para o navegador para fazer qualquer coisa.",Guanabara de boné chefe do morro,3,0,1,0,br.gov.meugovbr
👍 meu nome é Jesus *corretor*⚖️ o _motivo_ do contato☎️ e *facilitar* a🏡 _aquisição🔑_*de* _imovel,vc kpaz,5,0,0,1,br.gov.meugovbr
"Esses assalariados que respondem resenhas de aplicativos não ajudam em nada e só sabem dar respostas automáticas, por isso que não evolui na vida.",Lucas Mendes,1,1,0,0,br.gov.meugovbr
"Perfeito para facilitar um enfarto. Para usar certas funções, fica abrindo o navegador. Seu uso é muito confuso. Não tem me servido como deveria. Não cumpriu com suas funções.",Diego Vasconcelos,1,1,0,0,br.gov.meugovbr
otimo app,Mary Lima,5,0,0,1,br.gov.meugovbr
muito bom,francisco Paulo Aragao,5,0,0,1,br.gov.meugovbr
Não funciona,Erivelton Duarte,2,1,0,0,br.gov.meugovbr
mas rapido,Genesio Ferreira,5,0,0,1,br.gov.meugovbr
"Reconhecimento facial não funciona, péssima interface principalmente para idosos, não é intuitivo e tem mtos bugs! Fico me perguntando se são funcionários públicos que o fazem, pois pela péssima qualidade parece que sim...",Douglas Rafael do Amaral,1,1,0,0,br.gov.meugovbr
bom 😃,MMA -AKI,4,0,0,1,br.gov.meugovbr
"Pra entrar precisa de reconhecimento facial, o que fazer se não tem câmera? Tem opção de número bancário, nem conta no banco eu tenho. No final é só mais um app inútil. Anos depois e continua inútil.",John Logan,1,1,0,0,br.gov.meugovbr
ok,JOSE CARLOS PEREIRA,5,0,0,1,br.gov.meugovbr
topster,Marcos Lago,5,0,0,1,br.gov.meugovbr
like it,s w o o s h,5,0,0,1,br.gov.meugovbr
ok,Denilson Barreto,5,0,0,1,br.gov.meugovbr
parabens,Luiz Carlos Xavier,5,0,0,1,br.gov.meugovbr
services,Joseph kamli Pascal,5,0,0,1,br.gov.meugovbr
"Fotografa você pra RECONHECIMENTO FACIAL, e adiciona sua foto no perfil sem opção de remover????? Isso é uso indevido! Quero remoção da foto. Se eu quisesse ter foto em telas por aí, eu mesmo faria isso. Denunciem o APP por uso sem autorização.",Alex,1,1,0,0,br.gov.meugovbr
lixo,Claus Pacheco,1,1,0,0,br.gov.meugovbr
legal,Rafael Humberto Tovar Tovar,5,0,0,1,br.gov.meugovbr
bom,Emanuel Costa,4,0,0,1,br.gov.meugovbr
bom,glauber da silva,5,0,0,1,br.gov.meugovbr
tank,rogerio jose,4,0,0,1,br.gov.meugovbr
Ótimo,Sergio Amorim,5,0,0,1,br.gov.meugovbr
razoável,Lucas Gomes,3,0,1,0,br.gov.meugovbr
"Aplicativo com problemas para reconhecer a face e pede pra acessar a partir da conta de bancos tradicionais para validar (banco do brasil, caixa, santander, itau...), sendo que nao possuo conta em nenhum deles, só uso NuBank (e nao tem opção de validar com ele).",Cláudio César,3,0,1,0,br.gov.meugovbr
"O app de forma geral é bom, mas tem uma falha enorme que previne o uso por mim em diversas instâncias: ele pede por um número de celular brasileiro, coisa que não possuo. Então, ou vocês implementam outra maneira pra 2FA, ou permitam números internacionais.",André Müller,3,0,1,0,br.gov.meugovbr
"aparentemente funciona, mas quando vc realmente precisa falha... Estou há dois dias tentando lugar no app da Carteira Digital, que me manda para o portal gov.br. Eu coloco usuario e senha, clico em ""Entrar"" e nada acontece. Nem erro, nem sucesso, absolutamente nada. Nada confiável.",Thiago Simoes,3,0,1,0,br.gov.meugovbr
