Review,Username,Rating,NegativeRating,NeutralRatings,PositiveFeeling,AppName
"The app has improved significantly, sometimes it takes a while to load, but definitely it's in a better state. ES: Ha mejorado bastante, de vez en cuando tarda en cargar, pero ya está en mucho mejor estado.",Joel Hernández,4,0,0,1,sentimentos
"Lately, with every update the app gets worse: Everytime that I want to make a payment, I need to confirm my identity. The pig savings money doesn't get interest anymore since the money need to stay for one month, and every payment picks older money first. The saving boxes can only be withdrawn in business days, horrible if you have an emergency outside them (and it is pushed as emergency savings). Loading times feel even longer with more menu buttons, and soft resets often during use.",Lucas Santos,3,0,1,0,sentimentos
I haven't been able to access the App. It won't allow me to switch from brazil to Mexico. I don't speak portugués so that sucks. I've uninstalled and re-download several times since that's what I was told to do by customer service. Didn't help.,Oscar D. Molina Sosa,3,0,1,0,sentimentos
I have 1 and a half years with this card and I have paid it in full every month without any delay and a week ago they blocked my card without being able to unlock it due to their own mistakes.,Ramón Quijas,1,1,0,0,sentimentos
Very helpful app. The card arrived very fast at home.,Emmanuelle Silva,5,0,0,1,sentimentos
"It is failing lately, it lags and never opens, I have to uninstall and reinstall in order to log at it. Really slow as well.",Sandra Villanueva,3,0,1,0,sentimentos
It used to be a good app. Now the UX is bloated with a lot of uninteresting products and it became a spamming machine instead of a bank app.,Raul Kist,2,1,0,0,sentimentos
"Locked out of the app, can't pass by the fingerprint screen anymore, had uninstalled and reinstalled and it didn't solved.",Danilo de Queiroz,1,1,0,0,sentimentos
"Unbelievable, I just spent hours on the chat, talking to 3 different people, emails and print screens flying back and forth, reboot the phone, log in, log out, jumping thru all sorts of hoops for the last guy to tell me the answer to my issue is supposedly very simple. Hours! Terrible app, terrible customer service. NOT HAPPY and at this point considering just closing the account and deleting the app.",Monica V. Freitas,1,1,0,0,sentimentos
"It is an amazing and simple, easy-to-use app. The developers are doing a great job, as well as everyone in the team behind the Nubank app project! One detail (suggestion) I think everyone would love and that could be added in the app is the option for dark mode, so we can have dark-themed UI with darker screen.",Rafa S,5,0,0,1,sentimentos
"Not good, your last update logged me out now i cant log in again because im not receiving the confirmation email with the code, whats happening?????",Luca de souza,1,1,0,0,sentimentos
"I had to rewrite my review to do this app justice. I've used 4 different digital bank apps over 4 years. Nubank has been the best. UI: Fantastic and easy to navigate. Issue Loans: Quick & convenient. Takes seconds to get a loan, low interest rate and highly customisable. Conta PJ: This is where the app shines. Almost zero bureaucracy. Took me seconds to open. All the competitors required loads of documents and clunky questionnaires. Looking forward to using your investment features.",Tom Ferraz,5,0,0,1,sentimentos
"Best bank esp for gringos. As a foreigner living in Brazil, it has been impossible to get a bank account with the exception of Nubank. Incredibly easy to use and free transfers, saving me a lot of money because one of my requirements was to be able to transfer money to some people I work with. Compared to my USA bank accounts, the experience is much simpler and pleasant to use.",Frank Fumarola,5,0,0,1,sentimentos
"I'm super impressed with Nu, the amount of information that gives you is impressive. You get a pop-up for ""verification"" charges, you can select your own billing date, you can manage your credit line. It's honestly the best I've tried, and I have tried around 5 of these.",Omar Baca,5,0,0,1,sentimentos
"usually the app do not update the information inside, when you pay a bill for example, the account amount of money do not update with the discounted value. you need to rest it to actually work.the credit/debit card loses the limit of payment configuration for the approximation payments, its really bad and unsafe!",Carla Rafaela,3,0,1,0,sentimentos
"🇨🇴 1. It would be super nice if we can have savings account with NU. 2. We can add some hashtags to our expenses, but there isn't any feature to filter expenses a visualize that information in a more graphic way. This is super necessary! 3. There isn't any reward for using the NU card! Cashback? Buy Now Pay Later?",Andres Felipe Arbelaez,3,0,1,0,sentimentos
"Since the last update for this app a lot of the functions only work when it wants to, the most critical one is the one that unblock the card (I leave my card blocked all the time, and unblock it only when I need to use it), and when I needed it the most, it fails on me and I can't use it, congrats for leaving such a critical bug on your application.",Antonio Eduardo Chaves de Medeiros,2,1,0,0,sentimentos
"App used to be simple and to the point. You need to close a bunch of fullscreen modals about new products before you see the main page. Marketing push notifications all the time, even for black friday deals. Impossible to unsubscribe from their email newsletters. The last drop is that this institution sells bitcoin that you can't withdraw to a wallet.",CC Iglesias,1,1,0,0,sentimentos
"The app is working very well for me, I've been using for a while and didn't had many problems... The only thing I wanted is: when the purchase is denied, they should show the store where the purchase was made, sometimes I get a charge and have no idea where it came from... This happens when I lower my limit...",Nana Oliveira,4,0,0,1,sentimentos
"I am quite happy with the app so far and the graphic user interface although, some parts of the app are shown in Portuguese when I have the app in Spanish. I understand that this is the app's original language, but I hope they can fix this in future updates.",Víctor Hugo García Zamacona,4,0,0,1,sentimentos
"The app is working very well for me, I've been using for a while and didn't had many problems... The only thing I wanted is: when the purchase is denied, they should show the store where the purchase was made, sometimes I get a charge and have no idea where it came from... This happens when I lower ...",Manoel Silva,5,0,0,1,sentimentos
"Nubank was my favorite since 2018. Until they charged me two purchases on my credit card that I didn't do. I contacted them asking to cancel thoses purchases, but instead, they blocked my card and sent me another one, telling me that they could do no more than opening a ticket trying to get the seller (which I don't even know) to refund my money if THEY WISH TO. That's simply ridiculous and made me leave this bank and get my whole family out with me",Ark Xyz,1,1,0,0,sentimentos
"The app is quite good, on the bank app category is the best I have seen. Although one interesting feature that you can show is the NuConta revenue from the beginning until now. For exemplo: Revenue: from X until Y = Total ($) IOF: from X until Y = Total ($)",Luis Felipe de Deus,4,0,0,1,sentimentos
"Since last update the app crashes constantly, the problem was known and reported on beta version but the developers choose to push a bugged version into production, and since you can't use bank functions without the app, it's getting pretty much useless beyond the credit card.",A Google user,1,1,0,0,sentimentos
NuBank is an excellent credit card although after it expires I will never use it again. I'm using for at least two years now and never missed a payment. I've been trying to get a bigger limit for 6 months and nothing. So I'm changing for a credit card that is giving me a better limit,A Google user,2,1,0,0,sentimentos
"Simple, easy to use, intuitive, unbloated, it has only what matters. On the other hand , 9 trackers on a single app is kind of abusive and extremely invasive.",Ricardo Cardona,2,1,0,0,sentimentos
"I'm in love with this app, you get the instant notification if there's a charge on your credit card. Also the interface is very intuitive and clean , is 5x times better than other banking apps I have used.",A Google user,5,0,0,1,sentimentos
"It's amazing. Been using it since Sept, 2021, and I've never had a problem with it. At first, I thought it was going to take a long time for me to increase my credit line, but I started with only 5,000 Mexican pesos, and now I'm at 14,500. I don't know how much is that on US dollars, but taking that into account, and all the great features that they offer, plus the quick and effective response by the customer service team... In fewer words: they actually care. Not only they say it, it shows.",Caleb Espinosa,5,0,0,1,sentimentos
I applied for the CC and got it with a decent approved amount of credit. But the App became useless after finishing the process it only shows a message saying the process has ended and I'll get the Credit card between the next 5 laborable days...Nothing happened and almost 10 days passed so I reached Nubank through Facebook and instead of helping me know what happened they sent me an email address to cancel the Card and good bye... Extremely rude not even an effort to keep me as a client..,Alexa Kurosu,1,1,0,0,sentimentos
"Since the last update I can't access my account. The app ask the smartphone password, then I type correctly, but apears the NU logo and ask me again the password. I always remain into this infinite loop. As soon as possible I'll close my account.",Luciano da Costa Monteiro,1,1,0,0,sentimentos
"At the first time it was a good credit product, but along time it became an incompatible product. Customer service is just awful, I came here after my second deception about customer service and limited use of this card. Got partial purchase but when the months to pays has been ended I'm going to cancel this product.",Mina Pond,1,1,0,0,sentimentos
"Excellent service, impeccable app. I've been waiting nearly half a year with regular banks but I got my nu cc within 3 days. Very user friendly the app and easy to pay each month. Highly recommended to others. Also love the purple colour :)",A Google user,5,0,0,1,sentimentos
"I really enjoy being part of something this nice. Everytime I was in need of help, NuBank came to my aid and protected my account. Talking about security, it covers my needs. I used to believe all banks were horrible. NuBank has been changing that for me.",Victor Samuel Bueno Rosa,5,0,0,1,sentimentos
The worst bank app i ever saw and i didnt even know it was possible. There are options that are there in one momento and are not one next one. Connection error all the time. Some times the app just reset and go back to the home unlogged screen... Really sucks,A Google user,1,1,0,0,sentimentos
Easy to use. Simple and sophisticated.,Lokesh Prakash,5,0,0,1,sentimentos
I cant log in my acount cause its not update and i cant get a new update cuase it is the last version i have,Peter Peters,1,1,0,0,sentimentos
The only take away is the application is only in Portuguese. Very complete with services unavailable in other banking apps. Simple to use and excellent security.,Howard Rubin,4,0,0,1,sentimentos
It'd be cool if we had a dark mode option available. Fairly easy thing to implement and I'm sure many people's eyes would very much appreciate it..,Marcos Holguín,4,0,0,1,sentimentos
"I'm changing the rate of the app because since the last couple of updates it constantly fails, some useful functionalities were removed and when you need it the most, it just breaks... So bad Nubank! You used to be awesome!",Sergio Andres Cuadros Zuleta,4,0,0,1,sentimentos
"Simple to set up, easy to use, and they will provide you with all the guidance you need. Pair that with the great costumer support, and this is probably the best bank I've ever had the pleasure to have an account on. Would highly recommend!",Luiz Martins,5,0,0,1,sentimentos
"im not mad, im disappointed. I tried making a account for my savings and it failed. it said ""youll receive a confirmation email"" and the app just crashed. this happens all the time.",ItzCandle,1,1,0,0,sentimentos
"OH MY, What on Earth was this latest update?! Visually polluted and my credit card info simply doesn't appear sometimes, just my Current Account info. Then I've got to reopen the app and hope it shows up. Disclaimer: love NuBank services, my complaint is exclusively about the latest app update.",Jaime Correa,1,1,0,0,sentimentos
"Very good, totally free and now it offers debit function as well. Plus, unlimited transfer to any bank account for free as well.",A Google user,5,0,0,1,sentimentos
Latest update broke the app on my device. It is very concerning not having access to my account all of a sudden. Support did not take responsibility for the incident and tried to act like it was an issue outside of the app.,Henrique Arroyo,1,1,0,0,sentimentos
"all BS ads say they approve or even if you have it preapproved , you will get your credit in 3 days, have tried this with 2 friends of mine and it always sends you to a waitlist that lasts 3 months (even after that didnt get any mail back)",Gerardo Perez,1,1,0,0,sentimentos
I was invited to open an account Follow all the process When asked gor the app to take a picture of my RG the app shows me an error and I cant complete my registration. O checked all permissions on my phone and they are ok for the NuBank app. The app version is the latest. Now I have a hanging process with no supprt and I cant cancel. Need to find another bank?,Claudio C (Serversup),1,1,0,0,sentimentos
"Nubank is a new Brazilian virtual bank approach, seems still in crescent development, but so far I found it quite functional, easy intuitive interface and most important, well trustable. Congrats",Anna Vinny Hopa Silva,5,0,0,1,sentimentos
"Heya, I just had a small issue with the money I applied (had to ask to anticipate) and contacted through the apps chat! Everything was solved really quickly, the attendants were super educated and sweet. Thank you for your service!!",Law,5,0,0,1,sentimentos
"Great App. Safe and clean. I just wish one would be able to personalize a little, like choosing buttons order and things like that.",Flavia Brites,5,0,0,1,sentimentos
"An excellent bank service. Simple UI, everything i need is one-click away and there's no tax under account or money transfer.",M P,5,0,0,1,sentimentos
It's asking me to type my phone password to use it but it didn't even give me an option to accept or not. And now after I type my phone password the app reloads and return to the password screen. It's a cycle and now I can't use my Nubank account on my phone... It's very disappointing,StellaSzeto,1,1,0,0,sentimentos
"I'll absolutely close my nubank acc. The app NEVER opens. I have to delete it every time i want to use my money or pay my bills, and then install it again. No, clearing the cache and the data wont help me.",martin loenert lima,1,1,0,0,sentimentos
"The App was working good until last week, now I am not able to see how much I have in my account and neither the transfer option.. it just disappeared 😕",Marciana da Silva Sa,2,1,0,0,sentimentos
An interesting fin-tech that makes the experience of a credit card more like an experience y less than a service. I will like to have more than 1 digital card at the same moment.,Gustavo Robles,5,0,0,1,sentimentos
"I find NU Bank a great Bank, very useful indeed. However, like many things in life, there are things that could be better. Probably it is just a matter of time to see it unfolding!",Daniel Leme,5,0,0,1,sentimentos
